n06648046	noun.communication	proof by a process of argument or a series of proposition proving an asserted conclusion
n07707451	noun.food	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
n11517776	noun.phenomenon	atmospheric phenomena accompanying the daily disappearance of the sun
v02719399	verb.stative	have a tendency or disposition to do or be something; be inclined
v01250374	verb.contact	rub to a uniform size
n03590306	noun.artifact	an outer wrapping or casing
n11439690	noun.phenomenon	any collection of particles (e.g., smoke or dust) or gases that is visible
n04972451	noun.attribute	a medium brown to dark-brown color
n13950812	noun.state	(usually plural) the status or rank or office of a Christian clergyman in an ecclesiastical hierarchy
v01638368	verb.creation	make or work out a plan for; devise
n00303495	noun.act	the activity of flying a glider
n03185562	noun.artifact	an emblematic design (especially in heraldry)
n03853291	noun.artifact	lowered area in front of a stage where an orchestra accompanies the performers
n09428293	noun.object	the shore of a sea or ocean
n15196537	noun.time	period extending from Dec. 24 to Jan. 6
n05400860	noun.body	the blood group whose red cells carry the A antigen
n01584225	noun.animal	any of several small active brown birds of the northern hemisphere with short upright tails; they feed on insects
n05930386	noun.cognition	a unitary percept having structure and coherence that is the object of attention and that stands out against a ground
v01852701	verb.motion	move into the center
n09229409	noun.object	a natural stream of water smaller than a river (and often a tributary of a river)
s00607857	adj.all	rigidly conventional or old-fashioned
n00120515	noun.act	the act of jumping over an obstacle
n07420435	noun.event	a severe trial
n10468962	noun.person	the officer who presides at the meetings of an organization
n02121620	noun.animal	feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
s00379595	adj.all	of a light shade of red
n03459775	noun.artifact	grating that admits cooling air to car's radiator
n01662784	noun.animal	any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
n08581503	noun.location	a frequently visited place
s00245112	adj.all	(of skin) deeply suntanned
n00937656	noun.act	creating figures or designs in three dimensions
n08276720	noun.group	an educational institution
n06469694	noun.communication	short descriptive summary (of events)
n06394865	noun.communication	a major division of a long written composition
n07449316	noun.event	a formal ball held for a school class toward the end of the academic year
n04073669	noun.artifact	sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background
v01156115	verb.competition	make bets
